"Var3","mean_chla"
2016-04-26,11.1486292638277
2016-05-02,19.2386765480042
2016-05-08,12.6200636909122
2016-05-09,18.2870813039216
2016-05-10,10.0671024858952
2016-05-12,17.2700328486306
2016-05-14,27.1310855500838
2016-05-22,25.0424235343933
2016-05-23,24.1949332952499
2016-05-31,21.6789768763951
2016-06-01,24.1587133407593
2016-06-05,9.91189599037171
2016-06-06,25.9426969540747
2016-06-09,31.4876068860292
2016-06-23,52.2478328227997
2016-07-08,11.4975020885468
2016-07-14,12.1084949970245
2016-07-21,4.35788044333458
2016-07-25,13.5671749114991
2016-08-01,35.272029876709
2016-08-08,37.1814369678497
2016-08-13,24.8836900989215
2016-08-16,44.4169790267944
2016-08-17,24.1849464774132
2016-08-21,18.840636909008
2016-08-24,37.542470269733
2016-08-29,33.6251472644508
2016-09-04,49.1571960151196
2016-09-22,49.9075335945402
2016-09-27,176.88747985363
