id;short_name;name;country;max_distance_to_land;lat_min_box;lat_max_box;lon_min_box;lon_max_box;lat.centre;lon.centre;lwl_data;lwe_data;lswt_data;lic_data;lwlr_data;mean_depth;surface_area;volume;phosphorous
300011151;HYLA00011151;Iesjavri;Norway;2.5;69.5625;69.7625;24.0625;24.3625;69.6708;24.1986;False;False;True;True;True;;;;
300012213;HYLA00012213;Nesjoen;Norway;1.8;62.9208;63.1542;11.7958;12.1208;62.9819;12.0097;False;False;True;True;True;;;;
300012455;HYLA00012455;Hrnindalsvatnet;Norway;1.5;61.8625;62.0208;6.0792;6.5542;61.9542;6.4125;False;False;True;True;True;;;;
300012813;HYLA00012813;Mosvatn;Norway;1.5;59.7125;60.0458;7.8958;8.3542;59.8764;8.0292;False;False;True;True;True;;;;
300134644;HYLA00134644;Rihpojávri;Norway;0.7;69.1542;69.2625;20.5375;20.6792;69.2125;20.6042;False;False;False;True;True;;;;
1505;GLWD00001505;Sniardwy;Poland;3.6;53.6458;53.8875;21.5792;21.9125;53.7569;21.6958;False;False;True;True;True;;;;
2554;GLWD00002554;ÅEbsko;Poland;3;54.6375;54.7958;17.2458;17.5708;54.7097;17.3931;False;False;True;True;True;;;;
3350;GLWD00003350;Dabie;Poland;2.2;53.3625;53.5792;14.5542;14.7458;53.4542;14.6764;False;False;True;True;True;;;;
300013746;HYLA00013746;None;Poland;1.7;50.4125;50.5208;17.0458;17.1875;50.4625;17.1208;False;False;True;True;True;;;;
358;GLWD00000358;Razelm;Romania;6.6;44.6042;45.0458;28.7375;29.1875;44.9069;28.9486;True;False;True;True;True;;;;
4292;GLWD00004292;Brate?;Romania;2.3;45.4208;45.5458;28.0042;28.1375;45.4847;28.0708;False;False;True;True;True;;;;
8089;GLWD00008089;Badabag;Romania;1.9;44.8542;44.9792;28.6958;28.8458;44.9236;28.7597;False;False;True;True;True;;;;
9168;GLWD00009168;Dranov;Romania;1.9;44.8125;44.9375;29.1292;29.2708;44.8708;29.1903;False;False;True;True;True;;;;
13916;GLWD00013916;Gorgova;Romania;1.8;45.0875;45.2042;29.1125;29.2542;45.1542;29.1903;False;False;True;True;True;;;;
15309;GLWD00015309;Ro?u-Ro?ule?;Romania;1.2;45.0042;45.1125;29.4875;29.6625;45.0569;29.5681;False;False;True;True;True;;;;
16662;GLWD00016662;Jijila;Romania;1.3;45.2792;45.4042;28.0708;28.1875;45.3486;28.1208;False;False;False;True;True;;;;
16814;GLWD00016814;Lumina;Romania;1.5;45.0375;45.1458;29.4208;29.5708;45.0875;29.4903;False;False;True;True;True;;;;
17329;GLWD00017329;Merhei;Romania;1.4;45.2708;45.3792;29.3542;29.5125;45.3236;29.4542;False;False;True;True;True;;;;
208447;GLWD00208447;Matita;Romania;1.1;45.2375;45.3458;29.3125;29.4375;45.3014;29.3708;False;False;True;True;True;;;;
208662;GLWD00208662;Fortuna;Romania;1.5;45.1625;45.2708;29.0625;29.1792;45.2153;29.1264;False;False;True;True;True;;;;
208962;GLWD00208962;Isac;Romania;1.3;45.0542;45.1625;29.2042;29.3375;45.1097;29.2819;False;False;True;True;True;;;;
209099;GLWD00209099;Puiu;Romania;1.3;44.9958;45.1042;29.4208;29.5458;45.0569;29.4792;False;False;True;True;True;;;;
300014302;HYLA00014302;None;Romania;1.7;44.1792;44.3208;28.5292;28.6625;44.2542;28.5958;False;False;True;True;True;;;;
300014305;HYLA00014305;None;Romania;2;44.0958;44.2292;27.5708;27.6958;44.1542;27.6375;False;False;True;True;True;;;;
16;GLWD00000016;Ladoga;Russian Federation;56.3;59.8625;61.8208;29.7875;33.0042;60.7653;31.6486;True;False;True;True;True;;;;
18;GLWD00000018;Onegh;Russian Federation;25.1;60.8542;62.9542;34.1792;36.5125;61.6625;35.5319;True;False;True;True;True;;;;
47;GLWD00000047;Rybinkskoye;Russian Federation;17.7;57.7375;59.2208;37.0792;39.1625;58.4014;38.5208;True;False;True;True;True;;;;
71;GLWD00000071;Tsimlyanskoye;Russian Federation;10.3;47.4708;48.7208;42.0292;43.6208;47.7153;42.3708;True;True;True;True;True;;;;
136;GLWD00000136;Vygozero;Russian Federation;7.7;63.1542;63.9208;34.0792;35.6042;63.6542;34.6597;True;False;True;True;True;;;;
160;GLWD00000160;Beloye;Russian Federation;16;59.9958;60.3625;37.1125;38.0625;60.1819;37.6375;True;False;True;True;True;;;;
177;GLWD00000177;Imandra;Russian Federation;3.6;67.3292;68.1208;31.5375;33.5042;67.5653;32.8792;False;False;True;True;True;;;;
186;GLWD00000186;Topozero;Russian Federation;7.8;65.3208;65.9292;31.3958;32.7708;65.7708;31.7903;True;False;True;True;True;;;;
192;GLWD00000192;Ilmen;Russian Federation;11.4;58.0458;58.5375;30.8125;31.7875;58.2542;31.2514;True;True;True;True;True;;;;
193;GLWD00000193;Gorkovsky Reservoir;Russian Federation;6.3;56.5958;57.6458;41.6792;43.5875;57.2153;43.0931;False;False;True;True;True;;;;
228;GLWD00000228;Segozerskoye;Russian Federation;9.6;63.1208;63.5292;33.2458;34.2375;63.2847;33.6403;True;False;True;True;True;;;;
242;GLWD00000242;Kovdozero;Russian Federation;3.2;66.3792;66.9792;31.4875;32.4958;66.6819;32.1708;False;False;True;True;True;;;;
250;GLWD00000250;Manych oudilo;Russian Federation;4.6;45.9292;46.6292;41.8125;43.6542;46.3653;42.7042;False;False;True;True;True;;;;
258;GLWD00000258;Verkhnetulomskoye;Russian Federation;3.5;68.0042;68.7708;30.2125;31.8042;68.5847;31.1931;True;False;True;True;True;;;;
273;GLWD00000273;Pyaozero;Russian Federation;5.4;65.7625;66.3208;30.5542;31.4292;66.1042;31.0375;True;False;True;True;True;;;;
427;GLWD00000427;Vozhe;Russian Federation;5.1;60.3375;60.8042;38.7708;39.2375;60.7181;38.9097;False;False;True;True;True;;;;
434;GLWD00000434;Kubenskoye;Russian Federation;4.8;59.4042;59.8958;39.0292;39.8375;59.6181;39.4958;True;False;True;True;True;;;;
472;GLWD00000472;Sredneye Kuyto;Russian Federation;3.5;64.8042;65.2458;30.7542;32.0875;65.1347;31.4347;True;False;True;True;True;;;;
522;GLWD00000522;Vodlozero;Russian Federation;3.7;62.1208;62.5208;36.7125;37.1458;62.3875;36.8542;True;False;True;True;True;;;;
533;GLWD00000533;Lacha;Russian Federation;6.2;61.1292;61.5125;38.5875;38.9792;61.2458;38.7569;True;False;True;True;True;;;;
548;GLWD00000548;Umbozero;Russian Federation;5.2;67.4792;67.9375;34.1375;34.6458;67.6486;34.4347;True;False;True;True;True;;;;
601;GLWD00000601;Krasnodarskoye;Russian Federation;5.6;44.8375;45.2208;39.0458;39.6375;44.9625;39.1986;False;False;True;True;True;;;;
706;GLWD00000706;Beysugskiy;Russian Federation;5.6;46.0042;46.2958;38.2125;38.6208;46.0958;38.4764;False;False;True;True;True;;;;
825;GLWD00000825;Tishke;Russian Federation;4.4;66.1542;66.3958;31.5625;32.1792;66.2597;31.9069;False;False;True;True;True;;;;
936;GLWD00000936;Yanisyarni;Russian Federation;5.2;61.8458;62.1708;30.6875;31.1125;61.9792;30.9708;True;False;True;True;True;;;;
1319;GLWD00001319;Svir';Russian Federation;3;60.9458;61.2625;34.7375;35.5292;61.1569;34.8819;False;False;True;True;True;;;;
1608;GLWD00001608;Kirpilskiy;Russian Federation;2.3;45.6875;45.9875;38.0125;38.3042;45.8708;38.1708;False;False;True;True;True;;;;
2027;GLWD00002027;Kostromskoye;Russian Federation;2.9;57.7458;58.0542;40.5208;40.9625;57.9153;40.7069;False;False;True;True;True;;;;
2226;GLWD00002226;Khanskoye;Russian Federation;3.8;46.1042;46.3458;38.2708;38.5375;46.2625;38.3458;False;False;True;True;True;;;;
2961;GLWD00002961;Kurchanskiy;Russian Federation;2.3;45.1958;45.3708;37.3792;37.6125;45.2847;37.4736;False;False;True;True;True;;;;
2985;GLWD00002985;Zhizhitskoye;Russian Federation;2.6;56.1458;56.3208;31.1292;31.3792;56.2208;31.2431;False;False;True;True;True;;;;
3097;GLWD00003097;Vyshnevolotskoye;Russian Federation;2.2;57.4708;57.6625;34.2792;34.5542;57.5569;34.4708;False;False;True;True;True;;;;
200000065;CGL200000065;Krasnyy;Russian Federation;1.6;63.3042;63.4292;44.6125;44.7542;63.3625;44.6875;False;False;True;True;True;;;;
300001118;HYLA00001118;Palyeozero;Russian Federation;2.7;62.4542;62.7292;33.6708;33.8875;62.5958;33.7875;False;False;True;True;True;;;;
300011666;HYLA00011666;None;Russian Federation;2.3;66.8875;67.1792;33.9542;34.2875;67.0458;34.1236;False;False;True;True;True;;;;
300011916;HYLA00011916;None;Russian Federation;1.5;64.9792;65.1375;33.0542;33.7042;65.0375;33.4708;False;False;True;True;True;;;;
300011991;HYLA00011991;None;Russian Federation;2;64.3542;64.5292;33.8458;34.1375;64.4292;34.0375;False;False;True;True;True;;;;
300012021;HYLA00012021;None;Russian Federation;1.9;63.9458;64.2625;34.1625;34.4208;64.1569;34.3125;False;False;True;True;True;;;;
300012060;HYLA00012060;None;Russian Federation;2.5;63.8625;64.0625;35.0042;35.3208;63.9708;35.1597;False;False;True;True;True;;;;
300012093;HYLA00012093;None;Russian Federation;1.7;63.6875;63.8375;35.2375;35.5875;63.7625;35.4542;False;False;True;True;True;;;;
300012150;HYLA00012150;None;Russian Federation;3;63.3625;63.5792;32.7458;33.1458;63.4875;32.9819;False;False;True;True;True;;;;
300012234;HYLA00012234;None;Russian Federation;1.9;62.7375;62.9208;35.2542;35.4958;62.8375;35.3542;False;False;True;True;True;;;;
300012284;HYLA00012284;None;Russian Federation;2.1;62.4958;62.7208;33.9458;34.2292;62.6514;34.0542;False;False;True;True;True;;;;
300012336;HYLA00012336;None;Russian Federation;2.3;62.2958;62.4875;33.7125;33.9208;62.3958;33.8125;False;False;True;True;True;;;;
300012341;HYLA00012341;None;Russian Federation;1.5;62.2458;62.3792;33.6542;33.8042;62.3042;33.7208;False;False;True;True;True;;;;
300012361;HYLA00012361;None;Russian Federation;1.5;62.1875;62.2958;43.2875;43.4375;62.2375;43.3625;False;False;True;True;True;;;;
300012394;HYLA00012394;None;Russian Federation;1.8;61.9375;62.1958;38.0625;38.5208;62.0653;38.2208;False;False;True;True;True;;;;
300012472;HYLA00012472;None;Russian Federation;3.3;61.6958;61.8708;32.8292;33.1458;61.7875;32.9875;False;False;True;True;True;;;;
300012491;HYLA00012491;None;Russian Federation;2.9;61.6375;61.8042;37.9875;38.2208;61.7347;38.0764;False;False;True;True;True;;;;
300012507;HYLA00012507;None;Russian Federation;2;61.4625;61.6292;32.5292;32.8708;61.5458;32.7486;False;False;True;True;True;;;;
300012654;HYLA00012654;None;Russian Federation;2.3;60.7208;60.8958;30.0958;30.3958;60.8014;30.1847;False;False;True;True;True;;;;
300012946;HYLA00012946;None;Russian Federation;3.4;58.7042;58.8542;42.5125;42.7292;58.7792;42.6125;False;False;True;True;True;;;;
300012969;HYLA00012969;None;Russian Federation;2.5;58.3375;58.4875;42.1125;42.4708;58.4208;42.3681;False;False;True;True;True;;;;
300013032;HYLA00013032;None;Russian Federation;1.8;57.3875;57.5042;33.2958;33.4458;57.4458;33.3708;False;False;True;True;True;;;;
300013091;HYLA00013091;None;Russian Federation;3.2;56.6875;56.8458;38.6792;38.8792;56.7625;38.7875;False;False;True;True;True;;;;
300013149;HYLA00013149;None;Russian Federation;1.5;56.0708;56.2208;28.3708;28.5375;56.1292;28.4375;False;False;True;True;True;;;;
300013161;HYLA00013161;None;Russian Federation;1.9;56.0042;56.2125;31.0542;31.3708;56.0653;31.2708;False;False;True;True;True;;;;
300013186;HYLA00013186;None;Russian Federation;2.2;55.8208;56.0208;34.8375;35.1542;55.8875;35.0542;False;False;True;True;True;;;;
300014150;HYLA00014150;None;Russian Federation;1.5;45.8208;45.9708;37.8958;38.0292;45.9042;37.9625;False;False;True;True;True;;;;
300014180;HYLA00014180;None;Russian Federation;1.5;45.6292;45.7375;41.6125;41.7458;45.6792;41.6875;False;False;True;True;True;;;;
300014249;HYLA00014249;None;Russian Federation;2.2;44.9542;45.1208;41.6625;41.8375;45.0625;41.7625;False;False;True;True;True;;;;
300014300;HYLA00014300;None;Russian Federation;2.8;44.1625;44.2958;42.1875;42.3708;44.2292;42.2625;False;False;True;True;True;;;;
50;GLWD00000050;Peipus;"Russian Federation;Estonia";20.6;57.7792;59.0708;26.9125;28.2958;58.8208;27.4208;True;False;True;True;True;;;;
1632;GLWD00001632;Narvskoye-Vodokhranilishche;"Russian Federation;Estonia";3.1;59.1375;59.3875;27.9625;28.5208;59.2986;28.1764;False;False;True;True;True;;;;
100000001;GLBL00000001;Curonian;"Russian Federation;Lithuania";14.9;54.8542;55.7458;20.4708;21.3375;55.0347;20.9792;False;False;True;True;True;;;;
1562;GLWD00001562;Almendra;Spain;1.9;41.1208;41.3542;-6.3708;-6.0375;41.2569;-6.2819;False;False;True;True;True;;;;
3109;GLWD00003109;Ebro;Spain;2.5;42.9375;43.0792;-4.1375;-3.8208;43.0153;-3.9181;False;False;True;True;True;;;;
3566;GLWD00003566;Iznajar;Spain;1.2;37.1958;37.3375;-4.4208;-4.1792;37.2819;-4.3486;False;False;True;True;True;;;;
8527;GLWD00008527;Cuerda-Del-Pozo;Spain;1;41.7958;41.9292;-2.8625;-2.6708;41.8542;-2.7458;False;False;True;True;True;;;;
